story_id,name,story_text
922,Как у них: Монако,"["""",""Жизнь в Монако"",""Это Кирилл. Последние три года он живет в Монако — маленьком княжестве на Лазурном берегу. Он работает в «Формуле−1» и развивает свое маркетинговое агентство в Европе."",""Княжество известно своими казино и этапом гонок  «Формулы−1» — «Гран-при Монако». Местных жителей всего несколько тысяч. Многие ездят сюда на работу из соседней Ниццы."",""Без счета в местном банке в Монако нельзя арендовать квартиру или оформить симкарту. Чтобы в банке вам открыли счет, нужно положить на депозит минимум 7,5 млн ₽ и доказать, что деньги легальные."",""Средняя зарплата в Монако — 147 000 ₽ в месяц. Граждане княжества освобождены от налогов, но не имеют права посещать казино."",""Студия в Монако стоит от 230 000 ₽ в месяц, еще около 37 000 ₽ уходит на коммунальные платежи. Жилье снимают через агентство, которое просит до 3 месячных плат за свои услуги. Платят за квартиру обычно на год вперед."",""Продукты стоят дешевле, чем в соседней Франции, потому что нет высоких налогов. В стране всего 3—4 супермаркета: один большой и несколько маленьких."",""Монако — страна длиной в два километра, поэтому мало кто передвигается по ней на машинах. Многие ходят пешком, ездят на велосипедах или автобусах. "",""Читать о жизни в Монако""]"
927,Бизнес: школа английского,"["""",""Как открыть школу английского языка"",""Это Ксения. Она подрабатывала репетитором английского языка, пока в 2010 году не решила открыть собственную языковую школу в Санкт-Петербурге."",""На запуск школы Ксения потратила 315 000 ₽. В эту сумму вошли аренда, мебель, разработка сайта, закупка учебных материалов и зарплаты преподавателям."",""Чтобы без простоя обучать весь год и не прерываться на каникулы, Ксения сфокусировалась на корпоративных клиентах. Сейчас 63 компании обучают своих сотрудников в ее школе."",""Один академический час преподавателя стоит 1350 ₽. Ежемесячный оборот школы — 2,1 млн ₽, прибыль — 700 000 ₽. "",""Чтобы и дальше развивать свою школу, Ксения запустила чат-бота в Телеграме, который обучает подписчиков лексике и грамматике, и открыла интернет-занятия по скайпу."",""Читать историю Ксении""]"
965,Зачем нужна кредитка,"["""",""Зачем на самом деле нужна кредитка"",""И как не потратить лишнего"",""Зачем мне кредитная карта?"",""Многие боятся кредиток, потому что не хотят залезать в долги. Но если правильно пользоваться кредиткой, получится сэкономить и даже заработать."",""В паре с дебетовкой, чтобы зарабатывать проценты"",""В течение месяца платите кредиткой, а свои деньги храните на дебетовой карте. В конце месяца получите процент на остаток по дебетовке и сможете погасить долг на кредитке до истечения льготного периода."",""Карта для покупок в рассрочку без процентов"",""С кредиткой Тинькофф Банка можно покупать товары и услуги у наших партнеров в рассрочку. Оплачиваете покупки картой, а потом возвращаете сумму по частям и без процентов."",""Кредитка как залог при бронировании"",""При бронировании отеля или машины часто замораживаются деньги на карте. Если оставите номер кредитки — заморозите деньги банка, а не свои. Деньги вернутся на счет автоматически, и банк не начислит проценты."",""Кредитка для бонусов"",""За траты по кредитке банк вознаграждает клиента — милями на ALL Airlines, баллами на Tinkoff Platinum или другими бонусами, которыми можно компенсировать покупки."",""Кредитка вместо займов у друзей"",""Когда просите взаймы у друзей — неловко и вам и им. С деньгами банка как-то полегче. А если погашать долг в беспроцентный период и не снимать с кредитки наличные, банк не начислит процентов. "",""Кредитка для закрытия других долгов"",""Деньги с кредитки Тинькофф Банка можно перевести на счет кредита в другом банке. В течение 120 дней Тинькофф Банк не будет начислять проценты на переведенную сумму: если успеете погасить за это время, не переплатите ни копейки."",""Кредитка как способ наработать кредитную историю"",""Иметь хорошую кредитную историю лучше, чем не иметь никакой. Ситуации бывают разные. Если вы пользуетесь кредиткой без просрочек, у вас будет хорошая кредитная история."",""Используйте кредитку, когда уверены, что сможете вернуть деньги банку."",""Выбрать кредитку""]"
968,Как у них: Турция,"["""",""Жизнь в Турции"",""Это Ольга. В 2015 году она вышла замуж за турка и переехала в город Газиантеп."",""Ольге оформили вид на жительство, который действует один год. Его нужно продлевать дважды, а на третий раз уже можно обменять на гражданство. Для этого проходят медкомиссию и сдают экзамен на знание турецкого языка."",""Средняя зарплата в Турции — 14 000 ₽. Представители некоторых профессий, например врачи, могут получать 168 000 ₽ в месяц."",""Арендовать квартиру в бедном районе можно за 5000 ₽, в богатом — за 28 000 ₽. За коммунальные услуги зимой приходится отдавать до 12 000 ₽ из-за больших счетов за отопление. "",""На продукты Ольга тратит 3500 ₽ в неделю: 1 кг говядины в Газиантепе стоит до 1000 ₽, 1 кг макарон — 21 ₽, пачка сливочного масла — 28 ₽, хлеб — 8 ₽ за буханку, фрукты и овощи в сезон — до 42 ₽ за кг. Пообедать в недорогом кафе можно за 350 ₽."",""Из Газиантепа до Средиземного моря ехать полтора часа на машине. На шашлыки можно съездить на берег Евфрата. Билет на автобус до Анкары с напитками и закусками стоит 900 ₽."",""Читать о жизни в Турции""]"
971,Потеряли карту,"["""",""Что делать, если потеряли карту"",""Если не можете найти карту"",""Если вы не уверены, что карту украли, не спешите ее блокировать: после этого карту можно будет только перевыпустить. Или разблокировать, но не сразу."",""Вместо блокировки установите лимит 0 ₽ и отключите оплату покупок в интернете. Для мошенников такая карта бесполезна. А если найдется, вернете старые лимиты."",""Карта → Действия → Лимиты"",""Если карту украли"",""Карту, которая попала в чужие руки, нужно срочно заблокировать. Банк автоматически перевыпустит карту и привезет ее вам."",""В приложении"",""Карта → Действия → Заблокировать"",""По СМС"",""Отправьте СМС на номер +7 903 767-22-73 с текстом «Блок» и последними 4 цифрами номера карты."",""По телефону"",""8 800 755–10–10 — если потеряли кредитку\\\\n8 800 755-25-50 — если потеряли дебетовку"",""Еще → Инфо → Связь с банком → Звонок по интернету""]"
982,Как продать старые книги,"["""",""Как продать старые книги "",""Чтобы освободить место в шкафу и заработать"",""Сначала определите ценность"",""Книга стоит дорого, если у нее идеальный внешний вид, маленький тираж, востребованный автор и она издана в начале XX века."",""Продайте в интернете"",""Разместите книги на сайтах букинистики Alib.ru и Libex.ru. На «Алибе» платный аккаунт и автоматическая загрузка каталога. На «Либексе» меньше посетителей и ручная загрузка, зато аккаунт бесплатный. "",""Сдайте в букинистический магазин "",""Букинисты возьмут книги на вес. Если цена подойдет, вы за раз продадите все. Ценные экземпляры сдавайте через товароведа. Если увидите, что книга ему интересна, поднимите на нее цену."",""Продайте скупщику"",""Он приедет домой и заберет все, что ему понравится. Платит мало, поэтому за ценные книги торгуйтесь."",""Отдайте в библиотеки"",""Если продать не удается, попробуйте отдать книги в библиотеки. Туда возьмут современные детективы, женские романы и фэнтези. Правда, бесплатно."",""Если вам не жалко продать книги, на них можно неплохо заработать."",""Как продать старые книги""]"
995,Рассрочка в Тинькофф,"["""",""Рассрочка в Тинькофф"",""Новая возможность вашей кредитки "",""Что такое рассрочка?"",""Это как кредит, только без процентов. Вы оплачиваете покупку кредиткой, а деньги возвращаете по частям. На погашение долга у вас будет несколько месяцев. "",""Что можно купить в рассрочку?"",""Одежду, обувь и ювелирные украшения. Бытовую технику и мягкую мебель, авиабилеты и экскурсии. В общем, много разных товаров от наших партнеров. "",""Что за партнеры?"",""Популярные интернет-магазины и крупные розничные сети. Посмотрите всех партнеров: \\\\nЕще → Бонусы → Спецпредложения → Рассрочка. "",""Как покупать в рассрочку?"",""Прочитайте условия и срок предложения, активируйте его и оплатите покупку кредитной картой. "",""Как оплачивать рассрочку?"",""Одинаковыми платежами каждый месяц. Платеж по рассрочке добавится к минимальному платежу: вы увидите новую строчку — «Минимальный платеж с рассрочками» в выписке."",""Что будет с грейс-периодом?"",""Всё будет хорошо. Грейс-период продолжит действовать, пока вы будете вовремя гасить весь долг по выписке, включая сумму платежа по рассрочке."",""Купить в рассрочку""]"
997,Рассрочка в Тинькофф,"["""",""Рассрочка в Тинькофф"",""Новая возможность вашей кредитки "",""Что такое рассрочка?"",""Это как кредит, только без процентов. Вы оплачиваете покупку кредиткой, а деньги возвращаете по частям. На погашение долга у вас будет несколько месяцев. "",""Что можно купить в рассрочку?"",""Одежду, обувь и ювелирные украшения. Бытовую технику и мягкую мебель, авиабилеты и экскурсии. В общем, много разных товаров от наших партнеров. "",""Что за партнеры?"",""Популярные интернет-магазины и крупные розничные сети. Посмотрите всех партнеров: \\\\nЕще → Бонусы → Спецпредложения → Рассрочка. "",""Как покупать в рассрочку?"",""Прочитайте условия и срок предложения, активируйте его и оплатите покупку кредитной картой. "",""Как оплачивать рассрочку?"",""Одинаковыми платежами каждый месяц. Платеж по рассрочке добавится к минимальному платежу: вы увидите новую строчку — «Минимальный платеж с рассрочками» в выписке."",""Что будет с грейс-периодом?"",""Всё будет хорошо. Грейс-период продолжит действовать, пока вы будете вовремя гасить весь долг по выписке, включая сумму платежа по рассрочке."",""Купить в рассрочку""]"
999,Лимиты по картам,"["""",""Зачем нужны лимиты по картам"",""И как настроить их самостоятельно"",""Что такое лимит по карте?"",""По картам Тинькофф можно установить лимит на покупки и снятие наличных. Лимиты бывают на месяц и на день. Потратить больше не получится: в операции будет отказано."",""Не потратить лишнего"",""Если вы склонны к необдуманным крупным покупкам, лимит поможет опомниться в нужный момент."",""Контролировать расходы по дополнительным картам"",""Если вы оформили дополнительные карты для близких, на каждой из них можно установить свой лимит. "",""Перехитрить мошенников"",""Если потеряли карту, лимит защитит ваши средства. Просто поставьте везде нули. Если придет СМС о попытке списания денег — значит, карта у мошенников. Блокируйте ее."",""А если понадобится больше денег?"",""В приложении Тинькофф легко изменить или вовсе убрать лимит — в любой момент."",""С какими картами такое работает?"",""Со всеми картами Тинькофф: основными и дополнительными, кредитными и дебетовыми, валютными и мультивалютными."",""Окей, как установить лимит?"",""Выберите в приложении карту, для которой хотите установить лимит. Карта → Лимиты.""]"
1000,Лимиты по картам,"["""",""Зачем нужны лимиты по картам"",""И как настроить их самостоятельно"",""Что такое лимит по карте?"",""По картам Тинькофф можно установить лимит на покупки и снятие наличных. Лимиты бывают на месяц и на день. Потратить больше не получится: в операции будет отказано."",""Не потратить лишнего"",""Если вы склонны к необдуманным крупным покупкам, лимит поможет опомниться в нужный момент."",""Контролировать расходы по дополнительным картам"",""Если вы оформили дополнительные карты для близких, на каждой из них можно установить свой лимит. "",""Перехитрить мошенников"",""Если потеряли карту, лимит защитит ваши средства. Просто поставьте везде нули. Если придет СМС о попытке списания денег — значит, карта у мошенников. Блокируйте ее."",""А если понадобится больше денег?"",""В приложении Тинькофф легко изменить или вовсе убрать лимит — в любой момент."",""С какими картами такое работает?"",""Со всеми картами Тинькофф: основными и дополнительными, кредитными и дебетовыми, валютными и мультивалютными."",""Окей, как установить лимит?"",""Выберите в приложении карту, для которой хотите установить лимит. Карта → Лимиты.""]"
1007,Как платить за границей,"["""",""Как платить за границей"",""И не потратить лишнего"",""Если вы в еврозоне"",""Заведите себе карту в евро, чтобы оплачивать покупки без комиссии за конвертацию. Если у вас уже есть Tinkoff Black, сделайте ее мультивалютной и откройте счет в евро. "",""Счет → Настройки → Сделать карту мультивалютной"",""Если едете в страну, где принимают доллары"",""Привяжите свою Tinkoff Black к счету в долларах и переведите на нее валюту перед поездкой. Так вы сможете расплачиваться картой без комиссии за конвертацию. "",""Если местная валюта — не € или $"",""Расплачивайтесь с долларового счета: так комиссия будет только за одну конвертацию — из долларов в местную валюту. "",""Если у вас есть только карта в рублях"",""Снимите наличные заранее и обменяйте их на доллары или евро. Если в стране поездки другая валюта, обменяете евро и доллары по приезде. Но выгоднее все-таки завести карту в валюте.  "",""Если предлагают расплатиться с DCC"",""Откажитесь. DCC — это мгновенная конвертация валюты. Продавец покажет цену покупки в рублях, но при оплате деньги все равно сконвертируют, причем 2—3 раза. В итоге вам придется заплатить за списание в рублях и еще за 3 конвертации. "",""Если нужно снять наличные за границей"",""Снимайте суммы больше 3000 ₽ с рублевой карты, 100 $ с долларовой или 100 € с карты в евро. Так не будет комиссии Тинькофф Банка за снятие наличных. "",""А что с кэшбэком?"",""Если расплачиваетесь картой Тинькофф за границей, кэшбэк начисляется по-прежнему: 1% за любые покупки, 5% за покупки в избранных категориях.""]"
