party_rk,gender_cd,age,marital_status_desc,children_cnt,region_flg
34457,M,25.0,Холост/не замужем,0,0
59642,M,25.0,Холост/не замужем,0,0
40930,F,45.0,Женат/замужем,0,0
19079,M,60.0,Женат/замужем,2,0
23918,F,30.0,,0,1
37850,F,45.0,Холост/не замужем,0,0
68991,F,25.0,Холост/не замужем,0,0
58431,M,55.0,Разведен (а),0,0
35981,M,35.0,Женат/замужем,0,0
73178,M,35.0,Женат/замужем,0,0
79848,F,30.0,,0,0
66639,F,30.0,,0,0
56774,M,40.0,Женат/замужем,0,0
79062,F,70.0,Женат/замужем,0,0
60535,M,45.0,,0,0
65145,F,45.0,Женат/замужем,0,0
82044,M,35.0,,0,1
4962,F,35.0,Женат/замужем,1,0
12620,F,55.0,Разведен (а),0,0
18229,M,35.0,Разведен (а),0,0
27605,M,45.0,Разведен (а),0,0
52103,F,45.0,,0,0
92411,F,25.0,,0,0
20545,M,45.0,Разведен (а),4,0
74407,M,35.0,Холост/не замужем,0,0
8343,M,55.0,Женат/замужем,4,0
40212,M,30.0,Холост/не замужем,0,0
71420,M,35.0,Холост/не замужем,0,0
78152,F,30.0,Холост/не замужем,0,0
93733,M,30.0,Холост/не замужем,0,0
14195,F,50.0,Женат/замужем,2,0
34733,F,65.0,Женат/замужем,0,0
52003,M,30.0,Холост/не замужем,0,1
10371,M,45.0,Разведен (а),2,0
53043,M,30.0,Холост/не замужем,0,0
92630,F,25.0,Холост/не замужем,0,0
25921,M,30.0,Женат/замужем,2,0
35407,F,30.0,,0,0
54239,F,20.0,Холост/не замужем,0,0
80567,F,30.0,Женат/замужем,0,1
93422,M,30.0,Женат/замужем,0,0
58684,F,45.0,,4,1
61970,M,30.0,,0,0
24881,M,35.0,Холост/не замужем,1,0
38004,M,25.0,Гражданский брак,0,0
43425,M,30.0,Женат/замужем,0,0
48587,M,20.0,,0,1
53990,F,35.0,,0,0
81942,F,40.0,,0,1
9878,M,35.0,Разведен (а),4,0
16058,F,30.0,,0,0
56619,F,30.0,,0,1
70996,F,25.0,,0,0
63145,M,55.0,Женат/замужем,2,0
22606,F,40.0,Женат/замужем,0,0
31094,M,65.0,Женат/замужем,0,0
31678,F,65.0,Разведен (а),0,0
36217,F,40.0,,0,1
56098,M,30.0,Холост/не замужем,0,0
63991,M,60.0,Женат/замужем,0,0
14922,F,30.0,Женат/замужем,0,1
79305,F,20.0,Холост/не замужем,0,1
10612,M,60.0,Женат/замужем,1,0
65505,M,25.0,Женат/замужем,0,0
13930,F,45.0,Женат/замужем,3,1
31213,M,35.0,Женат/замужем,0,0
22863,F,35.0,Холост/не замужем,0,0
73147,F,40.0,Разведен (а),0,0
91246,M,30.0,Разведен (а),0,0
27826,M,30.0,Холост/не замужем,0,0
88972,M,25.0,Холост/не замужем,0,0
29050,M,45.0,Женат/замужем,1,0
43606,F,40.0,Женат/замужем,0,0
80685,F,25.0,,0,0
12502,M,30.0,Холост/не замужем,0,1
42653,M,30.0,Холост/не замужем,0,0
91826,F,25.0,Холост/не замужем,0,0
23711,F,40.0,Женат/замужем,2,0
58793,M,30.0,Холост/не замужем,0,0
62903,M,55.0,,0,0
79724,M,20.0,,0,0
30558,M,45.0,Женат/замужем,0,0
57452,F,50.0,,0,0
77385,M,35.0,Женат/замужем,0,0
3849,M,40.0,Женат/замужем,2,0
16812,M,40.0,Женат/замужем,1,0
21198,M,40.0,Женат/замужем,3,1
88138,F,30.0,,4,1
91146,M,35.0,Холост/не замужем,0,0
56673,M,35.0,Женат/замужем,0,0
89558,M,25.0,Холост/не замужем,0,0
57408,M,25.0,Холост/не замужем,4,0
82106,M,35.0,Разведен (а),0,0
87635,F,30.0,,0,0
25408,F,65.0,Разведен (а),0,0
35818,M,45.0,,0,0
63058,M,50.0,Гражданский брак,0,0
15269,F,50.0,Женат/замужем,0,0
34602,M,30.0,,0,0
82189,F,30.0,,0,0
2743,M,55.0,Женат/замужем,2,0
18247,M,60.0,,0,1
35716,F,70.0,,0,0
78838,M,25.0,Холост/не замужем,0,0
26367,M,35.0,Гражданский брак,0,0
49287,F,30.0,,0,0
62392,M,50.0,Женат/замужем,0,0
25828,M,60.0,,0,0
40242,M,35.0,Разведен (а),0,0
59191,M,30.0,Холост/не замужем,0,0
15471,F,25.0,Холост/не замужем,0,0
22359,M,60.0,Женат/замужем,2,0
38042,F,40.0,Женат/замужем,0,0
42701,M,30.0,Холост/не замужем,0,1
22575,M,45.0,Холост/не замужем,1,0
68858,M,35.0,,0,0
82882,M,30.0,Холост/не замужем,0,0
26649,M,65.0,Женат/замужем,0,0
34891,M,35.0,Женат/замужем,0,0
47168,M,35.0,,4,0
81632,M,40.0,Холост/не замужем,0,0
19147,F,40.0,Холост/не замужем,1,0
67635,M,35.0,Холост/не замужем,0,0
7436,F,35.0,Холост/не замужем,1,0
944,M,50.0,Холост/не замужем,0,0
29213,M,50.0,Гражданский брак,0,0
84110,M,15.0,,0,0
41043,M,35.0,Женат/замужем,0,0
50595,M,40.0,,0,0
29187,M,45.0,,0,0
46637,F,30.0,Женат/замужем,0,0
92526,M,30.0,Холост/не замужем,0,0
46496,M,35.0,Женат/замужем,0,0
42286,M,20.0,,0,0
59477,M,35.0,,0,0
9194,F,30.0,,4,1
12953,M,40.0,Холост/не замужем,2,0
16076,M,30.0,Женат/замужем,0,0
22648,M,35.0,Женат/замужем,0,0
6783,M,35.0,Холост/не замужем,0,1
19864,M,40.0,Гражданский брак,0,0
14408,F,40.0,,4,0
38347,M,50.0,,0,1
68879,F,35.0,Женат/замужем,0,0
87715,F,40.0,Женат/замужем,0,0
19461,F,35.0,Гражданский брак,2,0
70861,M,35.0,Женат/замужем,0,0
75757,F,30.0,,0,0
91638,M,35.0,Женат/замужем,2,0
30062,M,50.0,Женат/замужем,0,0
48007,F,45.0,Женат/замужем,0,0
35821,F,70.0,Холост/не замужем,0,0
42547,M,25.0,Разведен (а),0,1
13853,F,40.0,Женат/замужем,3,0
21722,M,30.0,Холост/не замужем,0,0
32684,F,65.0,,0,0
53101,F,30.0,Холост/не замужем,0,0
69592,F,55.0,Женат/замужем,0,0
78121,M,30.0,Холост/не замужем,0,0
19085,F,30.0,,0,1
64933,F,65.0,Холост/не замужем,0,0
4038,F,30.0,Женат/замужем,0,0
71453,F,30.0,,0,0
9688,M,45.0,Холост/не замужем,0,1
15319,F,55.0,Холост/не замужем,0,0
39509,M,35.0,,0,0
62689,M,55.0,Разведен (а),0,0
63249,M,30.0,Женат/замужем,0,0
4343,F,35.0,Холост/не замужем,0,0
8167,M,35.0,Женат/замужем,0,0
14897,F,55.0,,0,0
37067,M,35.0,Женат/замужем,0,0
62847,M,25.0,,0,0
51062,M,60.0,Женат/замужем,0,0
60262,F,30.0,Женат/замужем,0,0
87000,F,30.0,Женат/замужем,0,0
20827,M,40.0,Женат/замужем,0,0
26178,M,35.0,Гражданский брак,1,0
86977,M,35.0,Холост/не замужем,0,0
30302,M,60.0,,0,0
76970,M,35.0,Женат/замужем,0,0
21549,F,45.0,Женат/замужем,2,0
82879,F,30.0,Холост/не замужем,0,0
10825,F,35.0,,4,0
982,M,35.0,Женат/замужем,1,0
7102,F,55.0,Гражданский брак,4,0
21366,F,35.0,Женат/замужем,1,0
32180,F,30.0,Холост/не замужем,0,0
53132,F,45.0,,0,1
72634,M,40.0,Женат/замужем,0,0
39655,M,25.0,Холост/не замужем,0,0
60692,M,40.0,,0,1
380,F,50.0,Разведен (а),1,0
38711,M,65.0,Разведен (а),0,0
53099,F,50.0,Женат/замужем,0,0
29822,F,25.0,Гражданский брак,0,0
59660,F,45.0,Разведен (а),0,0
4590,M,50.0,Женат/замужем,1,1
11654,M,30.0,,0,0
72741,M,30.0,Холост/не замужем,0,0
39127,F,50.0,Женат/замужем,0,0
8003,M,45.0,Холост/не замужем,4,0
11497,M,25.0,,0,0
50583,F,50.0,Женат/замужем,0,0
85456,F,50.0,Женат/замужем,0,1
18360,F,60.0,Разведен (а),2,0
37338,M,25.0,,0,0
77270,F,30.0,,0,1
75751,M,25.0,Холост/не замужем,0,0
41118,M,40.0,Гражданский брак,0,0
60993,M,45.0,Женат/замужем,0,0
74737,F,20.0,,0,0
79099,M,25.0,,0,0
38656,M,30.0,,0,1
94143,M,30.0,Женат/замужем,0,0
12753,M,65.0,Женат/замужем,0,0
58538,M,35.0,Разведен (а),0,0
72529,F,45.0,,0,0
92074,M,40.0,,0,0
16257,F,60.0,Женат/замужем,2,0
92078,M,25.0,Холост/не замужем,0,0
23568,M,45.0,Гражданский брак,0,0
72769,M,45.0,Холост/не замужем,0,0
79814,M,35.0,Холост/не замужем,0,0
47941,F,40.0,,0,0
87623,F,25.0,,0,0
47127,M,45.0,Женат/замужем,0,0
63224,M,25.0,,0,1
77674,M,40.0,Женат/замужем,0,0
10135,M,40.0,Холост/не замужем,0,0
36649,F,50.0,Женат/замужем,0,1
73077,M,25.0,Женат/замужем,0,0
85730,M,35.0,Холост/не замужем,0,1
90032,M,30.0,,0,0
13641,F,30.0,,0,0
49964,M,40.0,,4,0
67279,F,25.0,Гражданский брак,0,0
30884,F,35.0,,0,0
50046,M,45.0,Женат/замужем,0,0
60074,M,50.0,Холост/не замужем,0,0
4803,M,35.0,,4,1
37058,F,35.0,Женат/замужем,0,0
1106,M,45.0,Гражданский брак,2,0
26950,M,75.0,"Вдовец, вдова",0,0
46451,M,35.0,Холост/не замужем,0,0
78783,F,25.0,,0,0
82166,F,25.0,,0,0
14858,F,60.0,Разведен (а),2,0
11785,F,65.0,"Вдовец, вдова",0,0
65937,F,30.0,,0,0
5737,M,30.0,Холост/не замужем,0,0
24680,M,35.0,Холост/не замужем,1,0
36663,M,40.0,Холост/не замужем,0,0
54460,F,55.0,Холост/не замужем,0,0
61563,M,35.0,,0,0
42693,M,40.0,,0,0
80252,M,45.0,Гражданский брак,0,0
18772,F,35.0,Женат/замужем,1,0
78073,F,25.0,Холост/не замужем,0,0
81875,M,35.0,Разведен (а),0,0
89064,M,25.0,Холост/не замужем,0,0
14534,M,40.0,Женат/замужем,0,1
56519,F,45.0,Гражданский брак,1,0
71040,M,45.0,Женат/замужем,0,0
86798,F,35.0,Женат/замужем,0,0
686,M,35.0,Гражданский брак,0,0
41958,F,25.0,Разведен (а),0,0
91125,F,30.0,Холост/не замужем,0,0
26886,M,35.0,Холост/не замужем,0,0
49730,M,40.0,Холост/не замужем,0,0
67278,M,25.0,Холост/не замужем,0,0
17662,M,30.0,,0,0
51650,M,35.0,Холост/не замужем,0,0
18261,F,55.0,"Вдовец, вдова",0,0
44137,M,30.0,Женат/замужем,0,0
56852,F,45.0,,0,0
63208,F,25.0,Холост/не замужем,0,0
70200,F,50.0,Разведен (а),0,0
61906,F,30.0,,0,0
41006,F,40.0,Женат/замужем,2,0
69720,F,40.0,Женат/замужем,0,0
48540,F,45.0,Женат/замужем,0,0
56115,F,25.0,,0,0
65888,F,35.0,Холост/не замужем,0,0
30650,F,55.0,"Вдовец, вдова",0,0
16766,F,65.0,Женат/замужем,0,0
25275,M,45.0,Холост/не замужем,0,0
2609,M,45.0,Женат/замужем,4,0
9462,M,30.0,Холост/не замужем,4,0
13856,F,35.0,Женат/замужем,0,0
36698,M,55.0,Женат/замужем,4,0
52060,M,25.0,Холост/не замужем,0,0
60400,M,35.0,,0,0
73492,M,20.0,Холост/не замужем,0,0
13242,F,35.0,Разведен (а),0,0
42034,F,30.0,Женат/замужем,0,0
8267,F,25.0,Холост/не замужем,1,0
35949,F,30.0,Разведен (а),0,0
61174,M,30.0,Женат/замужем,0,0
82963,M,30.0,,0,0
4574,M,35.0,Женат/замужем,1,0
56134,M,30.0,Холост/не замужем,0,0
59085,F,45.0,Женат/замужем,2,0
68322,M,30.0,Холост/не замужем,0,0
1225,M,50.0,Холост/не замужем,1,0
47331,F,30.0,Холост/не замужем,0,0
63551,M,50.0,,4,0
17344,M,50.0,Разведен (а),1,0
55689,M,35.0,,0,0
4645,M,45.0,Женат/замужем,2,0
74015,M,30.0,Холост/не замужем,0,1
83508,M,35.0,Гражданский брак,0,1
38334,F,45.0,,0,1
53126,F,35.0,Холост/не замужем,0,0
60234,M,30.0,,0,0
28388,M,25.0,,0,1
62633,F,45.0,Холост/не замужем,0,0
28123,F,30.0,Женат/замужем,0,0
86608,M,35.0,Женат/замужем,0,0
25306,F,45.0,Женат/замужем,2,0
24009,M,25.0,,0,0
69599,M,25.0,,0,0
48379,F,60.0,,0,0
58169,M,50.0,Холост/не замужем,0,0
10575,F,70.0,,4,0
18825,F,55.0,Женат/замужем,4,0
77479,M,40.0,Женат/замужем,0,0
52502,F,40.0,,0,0
78516,M,15.0,,4,0
1101,M,70.0,Женат/замужем,1,0
34447,M,35.0,Женат/замужем,0,0
40241,F,35.0,Женат/замужем,0,0
67500,M,25.0,,0,0
11888,F,50.0,Женат/замужем,1,0
81592,M,55.0,Разведен (а),0,0
38478,F,30.0,Женат/замужем,0,0
70006,M,25.0,Гражданский брак,0,0
51908,M,30.0,,0,0
65575,F,50.0,Разведен (а),0,0
78928,M,35.0,Холост/не замужем,0,0
7233,M,50.0,Гражданский брак,1,0
12996,M,40.0,Женат/замужем,0,0
17555,M,50.0,Женат/замужем,0,0
63083,F,55.0,Гражданский брак,0,0
80420,M,30.0,Женат/замужем,0,0
90031,F,25.0,,0,0
3993,M,35.0,,0,1
15865,M,30.0,,0,0
44602,F,45.0,Разведен (а),0,0
76020,M,25.0,Холост/не замужем,0,0
80068,M,35.0,Женат/замужем,0,0
94210,M,50.0,Женат/замужем,0,0
56960,F,40.0,Разведен (а),0,0
49675,F,50.0,Гражданский брак,0,0
53745,M,50.0,,0,0
65081,M,25.0,,0,0
41340,M,25.0,Женат/замужем,0,0
54535,F,35.0,Женат/замужем,4,0
12018,M,35.0,,4,0
20688,M,40.0,Женат/замужем,0,0
46244,M,30.0,Женат/замужем,0,0
54173,F,30.0,,0,0
69259,F,45.0,,0,0
85292,F,20.0,Холост/не замужем,0,0
91541,M,50.0,,0,0
12507,M,45.0,Женат/замужем,1,1
78007,M,25.0,Холост/не замужем,0,0
13672,M,30.0,Женат/замужем,1,0
66208,F,25.0,Холост/не замужем,0,0
54256,F,25.0,,0,0
7226,M,35.0,Женат/замужем,0,0
45520,M,35.0,Гражданский брак,0,0
52728,F,50.0,Женат/замужем,2,0
57654,M,35.0,,0,1
65043,M,45.0,Женат/замужем,0,0
89304,F,25.0,Разведен (а),0,0
4402,F,45.0,Разведен (а),1,0
545,F,35.0,Холост/не замужем,0,0
4716,F,75.0,"Вдовец, вдова",1,0
50194,M,30.0,Женат/замужем,0,0
57914,F,35.0,Холост/не замужем,0,0
61514,M,30.0,Разведен (а),0,0
77189,F,80.0,,0,0
91327,M,30.0,Холост/не замужем,0,0
201,M,40.0,Гражданский брак,1,0
35244,M,30.0,Разведен (а),0,1
11741,M,50.0,Женат/замужем,2,0
38336,M,20.0,,0,0
53087,M,30.0,Гражданский брак,0,0
87015,M,30.0,Холост/не замужем,0,0
29206,F,60.0,Женат/замужем,0,0
33059,F,30.0,Женат/замужем,0,0
75134,F,25.0,Гражданский брак,0,0
92071,F,35.0,Разведен (а),0,0
2422,M,30.0,Женат/замужем,0,0
15338,F,35.0,,0,0
21373,M,40.0,Гражданский брак,0,0
36378,F,40.0,Женат/замужем,0,0
79282,M,55.0,,4,0
89410,M,30.0,Холост/не замужем,0,0
8108,M,35.0,Разведен (а),0,0
61946,F,35.0,,0,1
37432,M,35.0,Холост/не замужем,0,0
48813,M,30.0,,0,0
42677,M,35.0,Холост/не замужем,0,0
81686,F,30.0,Женат/замужем,1,0
50751,F,25.0,,0,1
29110,M,40.0,Женат/замужем,0,0
27897,M,35.0,Женат/замужем,0,0
55308,F,20.0,Холост/не замужем,0,0
60607,F,30.0,Холост/не замужем,0,0
19838,F,40.0,,0,0
42396,M,40.0,Женат/замужем,0,0
72775,F,30.0,Женат/замужем,0,0
89582,M,35.0,,0,0
10074,F,40.0,Гражданский брак,1,0
13163,M,35.0,Холост/не замужем,0,0
30216,M,25.0,Холост/не замужем,0,0
33429,M,35.0,Женат/замужем,0,0
20563,M,35.0,Женат/замужем,1,0
60893,F,50.0,Женат/замужем,0,0
68876,M,35.0,Женат/замужем,0,0
30156,F,40.0,Холост/не замужем,1,0
86029,M,35.0,Холост/не замужем,0,0
6822,M,50.0,Женат/замужем,4,0
31822,M,30.0,,0,0
8550,F,30.0,Холост/не замужем,0,0
67519,F,30.0,Холост/не замужем,0,1
14138,F,45.0,Женат/замужем,1,0
19904,M,30.0,Холост/не замужем,0,0
43170,F,40.0,,0,1
62922,F,35.0,,0,0
66467,M,45.0,Женат/замужем,4,0
5808,F,30.0,Гражданский брак,1,0
29490,M,30.0,,0,1
83891,F,45.0,Женат/замужем,0,0
91611,M,65.0,Женат/замужем,0,0
22820,M,60.0,Холост/не замужем,0,0
56054,F,30.0,Холост/не замужем,0,0
13365,F,50.0,Женат/замужем,4,0
23204,M,35.0,,0,0
26215,M,30.0,,0,0
43291,M,30.0,Женат/замужем,0,0
65673,F,50.0,"Вдовец, вдова",0,0
53621,F,30.0,,0,1
79898,F,60.0,,0,0
82779,M,45.0,,0,0
52813,M,30.0,Холост/не замужем,0,0
72408,F,35.0,Женат/замужем,0,0
28470,M,45.0,Женат/замужем,0,0
38537,M,60.0,,0,1
37191,M,20.0,,0,0
50973,M,25.0,Холост/не замужем,0,0
56318,M,30.0,,0,1
71587,F,30.0,Женат/замужем,0,0
36013,M,30.0,Холост/не замужем,0,0
70632,M,50.0,Холост/не замужем,0,0
87454,M,30.0,Разведен (а),0,0
3813,M,35.0,Холост/не замужем,0,0
30594,F,40.0,Женат/замужем,0,0
79145,F,25.0,,0,0
21963,M,45.0,Гражданский брак,0,1
40822,M,35.0,Женат/замужем,0,0
67164,F,40.0,,0,0
56165,M,55.0,Женат/замужем,0,0
16087,M,25.0,Женат/замужем,0,0
87558,M,30.0,,0,0
73679,F,25.0,Холост/не замужем,0,0
6185,F,50.0,,0,0
35174,M,25.0,Холост/не замужем,0,0
56721,F,40.0,Холост/не замужем,0,0
76877,M,50.0,,0,0
57860,F,45.0,,0,0
72396,F,25.0,Холост/не замужем,0,0
76372,F,35.0,Холост/не замужем,0,0
84028,M,40.0,,4,1
42446,M,25.0,Холост/не замужем,0,0
93905,F,40.0,Разведен (а),2,0
12287,F,40.0,Женат/замужем,0,0
36837,M,60.0,Женат/замужем,0,0
77737,F,45.0,Женат/замужем,0,0
90338,F,55.0,,0,0
34589,M,45.0,Разведен (а),0,0
38009,F,60.0,,0,0
6395,M,45.0,Гражданский брак,2,0
27597,F,45.0,Женат/замужем,1,0
45019,F,35.0,Женат/замужем,0,0
15666,F,30.0,,0,0
70314,F,50.0,Гражданский брак,0,0
28748,F,70.0,Разведен (а),0,0
33772,M,35.0,,0,0
47639,M,30.0,Женат/замужем,0,0
54608,M,25.0,Холост/не замужем,0,1
80694,F,30.0,Холост/не замужем,0,0
91834,F,20.0,Холост/не замужем,0,0
8362,F,35.0,Женат/замужем,1,0
21830,M,25.0,Женат/замужем,1,0
23705,M,30.0,Холост/не замужем,0,0
76367,M,25.0,,0,0
25709,M,40.0,Женат/замужем,0,0
87900,F,40.0,Разведен (а),0,0
5122,F,30.0,Женат/замужем,0,0
14499,M,30.0,,0,0
50844,M,20.0,Холост/не замужем,0,0
80716,F,20.0,Холост/не замужем,0,0
85083,M,35.0,Разведен (а),0,0
94475,M,50.0,Разведен (а),1,0
11959,M,60.0,Женат/замужем,1,1
85422,M,30.0,Женат/замужем,0,0
93668,F,35.0,Разведен (а),0,0
35963,F,45.0,Разведен (а),0,0
57082,F,35.0,,0,1
41728,M,40.0,,0,0
89058,M,35.0,Гражданский брак,0,0
3816,F,35.0,Женат/замужем,1,0
15680,M,40.0,Женат/замужем,2,0
90923,M,45.0,Разведен (а),0,1
27893,F,35.0,Женат/замужем,1,0
19437,F,55.0,Гражданский брак,1,0
38202,F,35.0,,0,0
1211,F,40.0,Гражданский брак,1,0
4171,M,40.0,,4,0
22194,F,30.0,,4,1
41677,M,35.0,Гражданский брак,0,0
55314,M,25.0,Холост/не замужем,0,0
67939,F,35.0,,0,0
72640,M,45.0,Холост/не замужем,0,0
21656,M,45.0,Женат/замужем,2,0
79858,M,20.0,,0,1
57852,M,35.0,Холост/не замужем,0,0
74090,F,20.0,Холост/не замужем,0,1
62529,M,30.0,,0,0
88330,F,25.0,,0,0
12477,F,55.0,Холост/не замужем,4,0
93554,M,25.0,Холост/не замужем,0,0
10335,M,35.0,Холост/не замужем,0,0
15016,M,35.0,Холост/не замужем,0,1
36772,M,30.0,Холост/не замужем,0,0
68680,M,40.0,Женат/замужем,4,0
85776,M,40.0,Женат/замужем,0,1
5683,M,65.0,Женат/замужем,2,1
61013,F,30.0,Холост/не замужем,0,0
64477,F,50.0,Разведен (а),0,0
69770,M,30.0,Холост/не замужем,0,0
25693,F,40.0,Женат/замужем,1,0
33809,M,25.0,,0,1
48949,F,70.0,Холост/не замужем,0,0
80421,M,40.0,Женат/замужем,0,0
84242,F,40.0,Разведен (а),0,0
56181,F,50.0,,0,0
12374,F,35.0,Холост/не замужем,0,0
37767,F,35.0,Женат/замужем,0,1
44124,M,50.0,Холост/не замужем,0,0
55058,F,50.0,Гражданский брак,0,0
47062,M,55.0,Женат/замужем,0,0
57655,M,30.0,Женат/замужем,0,0
83915,M,35.0,,0,0
92479,F,25.0,Холост/не замужем,0,0
40244,F,50.0,Разведен (а),0,0
53927,M,30.0,Холост/не замужем,0,0
92146,F,25.0,Холост/не замужем,0,0
34029,F,25.0,Холост/не замужем,0,0
42104,M,45.0,Женат/замужем,0,0
87642,F,35.0,,0,0
10662,M,45.0,Женат/замужем,2,0
27490,F,35.0,Женат/замужем,1,0
73958,F,25.0,Женат/замужем,0,0
35299,M,35.0,,0,0
47441,F,20.0,Холост/не замужем,0,0
64401,F,50.0,,0,0
14319,M,60.0,Женат/замужем,2,0
20810,F,55.0,Женат/замужем,0,0
40323,F,30.0,Женат/замужем,0,0
2651,M,35.0,Женат/замужем,0,0
49361,M,25.0,Холост/не замужем,0,0
72441,M,45.0,Разведен (а),1,0
4761,M,30.0,Холост/не замужем,0,0
79862,M,30.0,,0,0
4589,M,35.0,Холост/не замужем,0,0
9137,F,50.0,Женат/замужем,0,0
1947,M,30.0,Женат/замужем,0,1
48069,F,55.0,"Вдовец, вдова",0,0
61306,M,45.0,Женат/замужем,0,0
8933,F,30.0,Холост/не замужем,0,0
59062,F,30.0,Гражданский брак,0,0
77397,F,55.0,,0,0
89959,M,30.0,Холост/не замужем,0,0
